[2025-05-04 18:22:47.629] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363167629
[2025-05-04 18:23:24.205] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363204205
[2025-05-04 18:23:25.254] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363205254
[2025-05-04 18:23:26.372] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363206372
[2025-05-04 18:28:38.528] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363518528
[2025-05-04 18:28:39.607] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363519607
[2025-05-04 18:28:40.691] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363520691
[2025-05-04 18:28:41.788] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363521788
[2025-05-04 18:28:42.856] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363522856
[2025-05-04 18:28:43.882] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363523882
[2025-05-04 18:28:44.973] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363524973
[2025-05-04 18:28:46.072] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363526072
[2025-05-04 18:28:47.157] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363527157
[2025-05-04 18:28:48.257] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363528257
[2025-05-04 18:28:49.351] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363529351
[2025-05-04 18:28:50.448] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363530447
[2025-05-04 18:28:51.534] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363531534
[2025-05-04 18:29:01.422] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363541422
[2025-05-04 18:29:02.426] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363542426
[2025-05-04 18:30:54.439] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363654439
[2025-05-04 18:30:55.531] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363655531
[2025-05-04 18:30:56.598] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363656598
[2025-05-04 18:30:57.598] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363657598
[2025-05-04 18:30:58.599] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363658599
[2025-05-04 18:30:59.689] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363659689
[2025-05-04 18:31:00.715] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363660715
[2025-05-04 18:31:01.800] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363661800
[2025-05-04 18:31:02.895] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363662895
[2025-05-04 18:31:03.898] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363663898
[2025-05-04 18:31:04.998] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363664998
[2025-05-04 18:31:06.082] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363666082
[2025-05-04 18:31:07.116] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363667116
[2025-05-04 18:31:08.164] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363668164
[2025-05-04 18:31:09.258] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363669258
